Rank,Player,Club,Year,Assists
1,Ollie Watkins,Aston Villa,2023/2024,13
2,Cole Palmer,Chelsea,2023/2024,11
3,Kevin De Bruyne,Manchester City,2023/2024,10
4,Morgan Gibbs-White,Nottingham Forest,2023/2024,10
5,Anthony Gordon,Newcastle United,2023/2024,10
6,Pascal Groß,Unknown,2023/2024,10
7,Brennan Johnson,Tottenham Hotspur,2023/2024,10
8,Mohamed Salah,Liverpool,2023/2024,10
9,Son Heung-Min,Tottenham Hotspur,2023/2024,10
10,Kieran Trippier,Newcastle United,2023/2024,10
11,Martin Ødegaard,Arsenal,2023/2024,10
12,Julián Alvarez,Unknown,2023/2024,9
13,Leon Bailey,Aston Villa,2023/2024,9
14,Anthony Elanga,Nottingham Forest,2023/2024,9
15,Rodri,Manchester City,2023/2024,9
16,Pedro Neto,Unknown,2023/2024,9
17,James Maddison,Tottenham Hotspur,2023/2024,9
18,Bernardo Silva,Manchester City,2023/2024,9
19,Bukayo Saka,Arsenal,2023/2024,9
20,Bruno Fernandes,Manchester United,2023/2024,8
1,Kevin De Bruyne,Manchester City,2022/2023,16
2,Mohamed Salah,Liverpool,2022/2023,12
3,Leandro Trossard,Arsenal,2022/2023,12
4,Michael Olise,Unknown,2022/2023,11
5,Bukayo Saka,Arsenal,2022/2023,11
6,Riyad Mahrez,Unknown,2022/2023,10
7,Trent Alexander-Arnold,Liverpool,2022/2023,9
8,James Maddison,Unknown,2022/2023,9
9,Bruno Fernandes,Manchester United,2022/2023,8
10,Christian Eriksen,Manchester United,2022/2023,8
11,Morgan Gibbs-White,Nottingham Forest,2022/2023,8
12,Pascal Groß,Unknown,2022/2023,8
13,Erling Haaland,Manchester City,2022/2023,8
14,Bryan Mbeumo,Brentford,2022/2023,8
15,Ivan Perisic,Unknown,2022/2023,8
16,Andy Robertson,Liverpool,2022/2023,8
17,Jack Grealish,Manchester City,2022/2023,7
18,Jack Harrison,Leeds United,2022/2023,7
19,Alex Iwobi,Unknown,2022/2023,7
20,Dejan Kulusevski,Unknown,2022/2023,7
1,Mohamed Salah,Liverpool,2021/2022,13
2,Trent Alexander-Arnold,Liverpool,2021/2022,12
3,Harvey Barnes,Leicester City,2021/2022,10
4,Jarrod Bowen,West Ham United,2021/2022,10
5,Mason Mount,Unknown,2021/2022,10
6,Andy Robertson,Liverpool,2021/2022,10
7,Reece James,Chelsea,2021/2022,9
8,Harry Kane,Unknown,2021/2022,9
9,Paul Pogba,Unknown,2021/2022,9
10,Michail Antonio,West Ham United,2021/2022,8
11,Kevin De Bruyne,Manchester City,2021/2022,8
12,Gabriel Jesus,Unknown,2021/2022,8
13,Dejan Kulusevski,Unknown,2021/2022,8
14,James Maddison,Unknown,2021/2022,8
15,João Cancelo,Unknown,2021/2022,7
16,Alexandre Lacazette,Unknown,2021/2022,7
17,Bryan Mbeumo,Brentford,2021/2022,7
18,Bukayo Saka,Arsenal,2021/2022,7
19,Son Heung-Min,Tottenham Hotspur,2021/2022,7
20,Saïd Benrahma,Unknown,2021/2022,6
1,Harry Kane,Unknown,2020/2021,14
2,Bruno Fernandes,Manchester United,2020/2021,12
3,Kevin De Bruyne,Manchester City,2020/2021,12
4,Jack Grealish,Unknown,2020/2021,10
5,Son Heung-Min,Tottenham Hotspur,2020/2021,10
6,Raphinha,Unknown,2020/2021,9
7,Marcus Rashford,Manchester United,2020/2021,9
8,Jamie Vardy,Leicester City,2020/2021,9
9,Aaron Cresswell,West Ham United,2020/2021,8
10,Pascal Groß,Unknown,2020/2021,8
11,Jack Harrison,Unknown,2020/2021,8
12,Timo Werner,Unknown,2020/2021,8
13,Trent Alexander-Arnold,Liverpool,2020/2021,7
14,Patrick Bamford,Unknown,2020/2021,7
15,Roberto Firmino,Unknown,2020/2021,7
16,Vladimír Coufal,West Ham United,2020/2021,7
17,Lucas Digne,Unknown,2020/2021,7
18,Sadio Mané,Unknown,2020/2021,7
19,Andy Robertson,Liverpool,2020/2021,7
20,Raheem Sterling,Unknown,2020/2021,7
1,Kevin De Bruyne,Manchester City,2019/2020,20
2,Trent Alexander-Arnold,Liverpool,2019/2020,13
3,Andy Robertson,Liverpool,2019/2020,12
4,Mohamed Salah,Liverpool,2019/2020,10
5,David Silva,Unknown,2019/2020,10
6,Son Heung-Min,Tottenham Hotspur,2019/2020,10
7,Riyad Mahrez,Unknown,2019/2020,9
8,Adama Traoré,Unknown,2019/2020,9
9,Roberto Firmino,Unknown,2019/2020,8
10,Harvey Barnes,Unknown,2019/2020,8
11,Willian,Unknown,2019/2020,7
12,Bruno Fernandes,Manchester United,2019/2020,7
13,Emiliano Buendía,Unknown,2019/2020,7
14,Gabriel Jesus,Unknown,2019/2020,7
15,Lucas Digne,Unknown,2019/2020,7
16,Sadio Mané,Unknown,2019/2020,7
17,Bernardo Silva,Manchester City,2019/2020,7
18,Marcus Rashford,Manchester United,2019/2020,7
19,César Azpilicueta,Unknown,2019/2020,6
20,João Moutinho,Unknown,2019/2020,6
