Rank,Player,Club,Year,Defender Clean Sheets
1,James Tarkowski,Burnley,2019/2020,15
2,Virgil van Dijk,Liverpool,2019/2020,15
3,George Baldock,Unknown,2019/2020,13
4,Conor Coady,Unknown,2019/2020,13
5,Harry Maguire,Manchester United,2019/2020,13
6,Ben Mee,Burnley,2019/2020,13
7,Trent Alexander-Arnold,Liverpool,2019/2020,12
8,Chris Basham,Unknown,2019/2020,12
9,Willy-Arnaud Boly,Unknown,2019/2020,12
10,Matt Doherty,Unknown,2019/2020,12
11,John Egan,Unknown,2019/2020,12
12,Joe Gomez,Liverpool,2019/2020,12
13,Victor Lindelöf,Manchester United,2019/2020,12
14,Jack O'Connell,Unknown,2019/2020,12
15,Çaglar Söyüncü,Unknown,2019/2020,12
16,Enda Stevens,Unknown,2019/2020,12
17,Jonny Evans,Unknown,2019/2020,11
18,Aaron Wan-Bissaka,Unknown,2019/2020,11
19,Ricardo Pereira,Leicester City,2019/2020,10
20,Romain Saïss,Unknown,2019/2020,10
1,Rúben Dias,Manchester City,2020/2021,15
2,Matt Targett,Unknown,2020/2021,15
3,Tyrone Mings,Aston Villa,2020/2021,14
4,John Stones,Manchester City,2020/2021,14
5,João Cancelo,Unknown,2020/2021,13
6,Harry Maguire,Manchester United,2020/2021,13
7,Aaron Wan-Bissaka,Unknown,2020/2021,13
8,César Azpilicueta,Unknown,2020/2021,12
9,Stuart Dallas,Unknown,2020/2021,12
10,Ezri Konsa,Aston Villa,2020/2021,12
11,Luke Ayling,Unknown,2020/2021,11
12,Aaron Cresswell,West Ham United,2020/2021,11
13,Lewis Dunk,Brighton & Hove Albion,2020/2021,11
14,Ben Godfrey,Unknown,2020/2021,11
15,Rob Holding,Unknown,2020/2021,11
16,Antonio Rüdiger,Unknown,2020/2021,11
17,James Tarkowski,Burnley,2020/2021,11
18,Ben White,Unknown,2020/2021,11
19,Trent Alexander-Arnold,Liverpool,2020/2021,10
20,Ezgjan Alioski,Unknown,2020/2021,10
1,Virgil van Dijk,Liverpool,2021/2022,21
2,João Cancelo,Unknown,2021/2022,19
3,Trent Alexander-Arnold,Liverpool,2021/2022,17
4,Joël Matip,Unknown,2021/2022,17
5,Eric Dier,Unknown,2021/2022,16
6,Andy Robertson,Liverpool,2021/2022,16
7,Aymeric Laporte,Unknown,2021/2022,15
8,Antonio Rüdiger,Unknown,2021/2022,14
9,Ben White,Arsenal,2021/2022,13
10,Rúben Dias,Manchester City,2021/2022,12
11,Gabriel Magalhães,Arsenal,2021/2022,12
12,Joachim Andersen,Unknown,2021/2022,11
13,Conor Coady,Unknown,2021/2022,11
14,Ben Davies,Tottenham Hotspur,2021/2022,11
15,Tyrone Mings,Aston Villa,2021/2022,11
16,Romain Saïss,Unknown,2021/2022,11
17,Matty Cash,Aston Villa,2021/2022,10
18,Lewis Dunk,Brighton & Hove Albion,2021/2022,10
19,Thiago Silva,Unknown,2021/2022,10
20,Marc Guéhi,Crystal Palace,2021/2022,10
1,Gabriel Magalhães,Arsenal,2022/2023,14
2,Kieran Trippier,Newcastle United,2022/2023,14
3,Dan Burn,Newcastle United,2022/2023,12
4,Ben Mee,Brentford,2022/2023,12
5,Tyrone Mings,Aston Villa,2022/2023,12
6,Fabian Schär,Newcastle United,2022/2023,12
7,Sven Botman,Newcastle United,2022/2023,11
8,Lewis Dunk,Brighton & Hove Albion,2022/2023,11
9,Maximilian Kilman,Unknown,2022/2023,11
10,Ezri Konsa,Aston Villa,2022/2023,11
11,William Saliba,Arsenal,2022/2023,11
12,Luke Shaw,Manchester United,2022/2023,11
13,Virgil van Dijk,Liverpool,2022/2023,11
14,Ethan Pinnock,Brentford,2022/2023,10
15,Diogo Dalot,Manchester United,2022/2023,9
16,Ben Davies,Tottenham Hotspur,2022/2023,9
17,Eric Dier,Unknown,2022/2023,9
18,Rico Henry,Brentford,2022/2023,9
19,Antonee Robinson,Fulham,2022/2023,9
20,James Tarkowski,Everton,2022/2023,9
1,William Saliba,Arsenal,2023/2024,18
2,Gabriel Magalhães,Arsenal,2023/2024,15
3,James Tarkowski,Everton,2023/2024,13
4,Ben White,Arsenal,2023/2024,13
5,Jarrad Branthwaite,Everton,2023/2024,12
6,Manuel Akanji,Manchester City,2023/2024,11
7,Tyrick Mitchell,Crystal Palace,2023/2024,10
8,Rúben Dias,Manchester City,2023/2024,9
9,Josko Gvardiol,Manchester City,2023/2024,9
10,Vitalii Mykolenko,Everton,2023/2024,9
11,Virgil van Dijk,Liverpool,2023/2024,9
12,Joachim Andersen,Unknown,2023/2024,8
13,Timothy Castagne,Fulham,2023/2024,8
14,Fabian Schär,Newcastle United,2023/2024,8
15,Illia Zabarnyi,Bournemouth,2023/2024,8
16,Dan Burn,Newcastle United,2023/2024,7
17,Nathan Collins,Brentford,2023/2024,7
18,Diogo Dalot,Manchester United,2023/2024,7
19,Antonee Robinson,Fulham,2023/2024,7
20,Cristian Romero,Tottenham Hotspur,2023/2024,7
