Rank,Player,Club,Year,Goals
1,Erling Haaland,Manchester City,2022/2023,36
2,Harry Kane,Unknown,2022/2023,30
3,Ivan Toney,Unknown,2022/2023,20
4,Mohamed Salah,Liverpool,2022/2023,19
5,Callum Wilson,Newcastle United,2022/2023,18
6,Marcus Rashford,Manchester United,2022/2023,17
7,Gabriel Martinelli,Arsenal,2022/2023,15
8,Ollie Watkins,Aston Villa,2022/2023,15
9,Martin Ødegaard,Arsenal,2022/2023,15
10,Aleksandar Mitrovic,Unknown,2022/2023,14
11,Bukayo Saka,Arsenal,2022/2023,14
12,Harvey Barnes,Leicester City,2022/2023,13
13,Rodrigo,Unknown,2022/2023,13
14,Miguel Almirón,Newcastle United,2022/2023,11
15,Roberto Firmino,Unknown,2022/2023,11
16,Gabriel Jesus,Arsenal,2022/2023,11
17,Phil Foden,Manchester City,2022/2023,11
18,Taiwo Awoniyi,Nottingham Forest,2022/2023,10
19,Eberechi Eze,Crystal Palace,2022/2023,10
20,Alexander Isak,Newcastle United,2022/2023,10
1,Erling Haaland,Manchester City,2023/2024,27
2,Cole Palmer,Chelsea,2023/2024,22
3,Alexander Isak,Newcastle United,2023/2024,21
4,Phil Foden,Manchester City,2023/2024,19
5,Dominic Solanke,Unknown,2023/2024,19
6,Ollie Watkins,Aston Villa,2023/2024,19
7,Mohamed Salah,Liverpool,2023/2024,18
8,Son Heung-Min,Tottenham Hotspur,2023/2024,17
9,Jarrod Bowen,West Ham United,2023/2024,16
10,Jean-Philippe Mateta,Crystal Palace,2023/2024,16
11,Bukayo Saka,Arsenal,2023/2024,16
12,Nicolas Jackson,Chelsea,2023/2024,14
13,Chris Wood,Nottingham Forest,2023/2024,14
14,Kai Havertz,Arsenal,2023/2024,13
15,Matheus Cunha,Wolverhampton Wanderers,2023/2024,12
16,Hwang Hee-Chan,Wolverhampton Wanderers,2023/2024,12
17,Leandro Trossard,Arsenal,2023/2024,12
18,Yoane Wissa,Brentford,2023/2024,12
19,Julián Alvarez,Unknown,2023/2024,11
20,Richarlison,Tottenham Hotspur,2023/2024,11
1,Mohamed Salah,Liverpool,2021/2022,23
2,Son Heung-Min,Tottenham Hotspur,2021/2022,23
3,Cristiano Ronaldo,Unknown,2021/2022,18
4,Harry Kane,Unknown,2021/2022,17
5,Sadio Mané,Unknown,2021/2022,16
6,Kevin De Bruyne,Manchester City,2021/2022,15
7,Diogo Jota,Liverpool,2021/2022,15
8,Jamie Vardy,Leicester City,2021/2022,15
9,Wilfried Zaha,Unknown,2021/2022,14
10,Raheem Sterling,Unknown,2021/2022,13
11,Jarrod Bowen,West Ham United,2021/2022,12
12,James Maddison,Unknown,2021/2022,12
13,Ivan Toney,Unknown,2021/2022,12
14,Raphinha,Unknown,2021/2022,11
15,Riyad Mahrez,Unknown,2021/2022,11
16,Mason Mount,Unknown,2021/2022,11
17,Teemu Pukki,Unknown,2021/2022,11
18,Bukayo Saka,Arsenal,2021/2022,11
19,Ollie Watkins,Aston Villa,2021/2022,11
20,Michail Antonio,West Ham United,2021/2022,10
1,Harry Kane,Unknown,2020/2021,23
2,Mohamed Salah,Liverpool,2020/2021,22
3,Bruno Fernandes,Manchester United,2020/2021,18
4,Patrick Bamford,Unknown,2020/2021,17
5,Son Heung-Min,Tottenham Hotspur,2020/2021,17
6,Dominic Calvert-Lewin,Everton,2020/2021,16
7,Jamie Vardy,Leicester City,2020/2021,15
8,Ollie Watkins,Aston Villa,2020/2021,14
9,Ilkay Gündogan,Unknown,2020/2021,13
10,Alexandre Lacazette,Unknown,2020/2021,13
11,Kelechi Iheanacho,Unknown,2020/2021,12
12,Danny Ings,Unknown,2020/2021,12
13,Callum Wilson,Newcastle United,2020/2021,12
14,Chris Wood,Unknown,2020/2021,12
15,Gareth Bale,Unknown,2020/2021,11
16,Matheus Pereira,Unknown,2020/2021,11
17,Sadio Mané,Unknown,2020/2021,11
18,Marcus Rashford,Manchester United,2020/2021,11
19,Wilfried Zaha,Unknown,2020/2021,11
20,Michail Antonio,West Ham United,2020/2021,10
1,Jamie Vardy,Leicester City,2019/2020,23
2,Pierre-Emerick Aubameyang,Unknown,2019/2020,22
3,Danny Ings,Unknown,2019/2020,22
4,Raheem Sterling,Unknown,2019/2020,20
5,Mohamed Salah,Liverpool,2019/2020,19
6,Harry Kane,Unknown,2019/2020,18
7,Sadio Mané,Unknown,2019/2020,18
8,Raúl Jiménez,Unknown,2019/2020,17
9,Anthony Martial,Unknown,2019/2020,17
10,Marcus Rashford,Manchester United,2019/2020,17
11,Sergio Agüero,Unknown,2019/2020,16
12,Tammy Abraham,Unknown,2019/2020,15
13,Gabriel Jesus,Unknown,2019/2020,14
14,Chris Wood,Unknown,2019/2020,14
15,Dominic Calvert-Lewin,Everton,2019/2020,13
16,Richarlison,Unknown,2019/2020,13
17,Kevin De Bruyne,Manchester City,2019/2020,13
18,Riyad Mahrez,Unknown,2019/2020,11
19,Teemu Pukki,Unknown,2019/2020,11
20,Son Heung-Min,Tottenham Hotspur,2019/2020,11
