Rank,Player,Club,Year,Goalkeeper Clean Sheets
1,David Raya,Unknown,2023/2024,16
2,Jordan Pickford,Everton,2023/2024,13
3,Bernd Leno,Fulham,2023/2024,10
4,Ederson,Manchester City,2023/2024,10
5,André Onana,Manchester United,2023/2024,9
6,Alisson Becker,Liverpool,2023/2024,8
7,Emiliano Martínez,Aston Villa,2023/2024,8
8,Mark Flekken,Brentford,2023/2024,7
9,Neto,Unknown,2023/2024,7
10,Guglielmo Vicario,Tottenham Hotspur,2023/2024,7
11,Sam Johnstone,Unknown,2023/2024,6
12,Djordje Petrovic,Unknown,2023/2024,5
13,Nick Pope,Newcastle United,2023/2024,5
14,Alphonse Areola,West Ham United,2023/2024,4
15,Martin Dúbravka,Newcastle United,2023/2024,4
16,Dean Henderson,Crystal Palace,2023/2024,4
17,José Sá,Wolverhampton Wanderers,2023/2024,4
18,Bart Verbruggen,Brighton & Hove Albion,2023/2024,4
19,Robert Sánchez,Chelsea,2023/2024,3
20,Thomas Kaminski,Unknown,2023/2024,2
1,David de Gea,Unknown,2022/2023,17
2,Alisson Becker,Liverpool,2022/2023,14
3,Nick Pope,Newcastle United,2022/2023,14
4,Aaron Ramsdale,Unknown,2022/2023,14
5,David Raya,Unknown,2022/2023,12
6,José Sá,Wolverhampton Wanderers,2022/2023,11
7,Emiliano Martínez,Aston Villa,2022/2023,11
8,Ederson,Manchester City,2022/2023,11
9,Kepa,Unknown,2022/2023,9
10,Lukasz Fabianski,West Ham United,2022/2023,8
11,Bernd Leno,Fulham,2022/2023,8
12,Jordan Pickford,Everton,2022/2023,8
13,Hugo Lloris,Unknown,2022/2023,7
14,Vicente Guaita,Unknown,2022/2023,6
15,Dean Henderson,Unknown,2022/2023,6
16,Neto,Unknown,2022/2023,6
17,Robert Sánchez,Unknown,2022/2023,6
18,Jason Steele,Brighton & Hove Albion,2022/2023,6
19,Danny Ward,Leicester City,2022/2023,6
20,Illan Meslier,Unknown,2022/2023,5
1,Alisson Becker,Liverpool,2021/2022,20
2,Ederson,Manchester City,2021/2022,20
3,Hugo Lloris,Unknown,2021/2022,16
4,Édouard Mendy,Unknown,2021/2022,14
5,Aaron Ramsdale,Unknown,2021/2022,12
6,Vicente Guaita,Unknown,2021/2022,11
7,José Sá,Wolverhampton Wanderers,2021/2022,11
8,Emiliano Martínez,Aston Villa,2021/2022,11
9,Robert Sánchez,Unknown,2021/2022,11
10,Nick Pope,Burnley,2021/2022,9
11,David de Gea,Unknown,2021/2022,8
12,Martin Dúbravka,Newcastle United,2021/2022,8
13,Lukasz Fabianski,West Ham United,2021/2022,8
14,David Raya,Unknown,2021/2022,8
15,Jordan Pickford,Everton,2021/2022,7
16,Kasper Schmeichel,Unknown,2021/2022,7
17,Tim Krul,Unknown,2021/2022,5
18,Alex McCarthy,Southampton,2021/2022,5
19,Illan Meslier,Unknown,2021/2022,5
20,Ben Foster,Unknown,2021/2022,4
1,Ederson,Manchester City,2020/2021,19
2,Édouard Mendy,Unknown,2020/2021,16
3,Emiliano Martínez,Aston Villa,2020/2021,15
4,Hugo Lloris,Unknown,2020/2021,12
5,Bernd Leno,Unknown,2020/2021,11
6,Illan Meslier,Unknown,2020/2021,11
7,Nick Pope,Burnley,2020/2021,11
8,Kasper Schmeichel,Unknown,2020/2021,11
9,Alisson Becker,Liverpool,2020/2021,10
10,Rui Patrício,Unknown,2020/2021,10
11,Lukasz Fabianski,West Ham United,2020/2021,10
12,Jordan Pickford,Everton,2020/2021,10
13,Robert Sánchez,Unknown,2020/2021,10
14,Alphonse Areola,Fulham,2020/2021,9
15,David de Gea,Unknown,2020/2021,9
16,Vicente Guaita,Unknown,2020/2021,8
17,Alex McCarthy,Southampton,2020/2021,7
18,Sam Johnstone,West Bromwich Albion,2020/2021,6
19,Aaron Ramsdale,Unknown,2020/2021,5
20,Karl Darlow,Unknown,2020/2021,4
1,Ederson,Manchester City,2019/2020,16
2,Nick Pope,Burnley,2019/2020,15
3,Alisson Becker,Liverpool,2019/2020,13
4,David de Gea,Unknown,2019/2020,13
5,Rui Patrício,Unknown,2019/2020,13
6,Dean Henderson,Unknown,2019/2020,13
7,Kasper Schmeichel,Unknown,2019/2020,13
8,Martin Dúbravka,Newcastle United,2019/2020,11
9,Vicente Guaita,Unknown,2019/2020,10
10,Ben Foster,Unknown,2019/2020,9
11,Jordan Pickford,Everton,2019/2020,9
12,Mathew Ryan,Unknown,2019/2020,9
13,Kepa,Unknown,2019/2020,8
14,Bernd Leno,Unknown,2019/2020,7
15,Alex McCarthy,Southampton,2019/2020,7
16,Hugo Lloris,Unknown,2019/2020,6
17,Lukasz Fabianski,West Ham United,2019/2020,5
18,Tim Krul,Unknown,2019/2020,5
19,Aaron Ramsdale,Unknown,2019/2020,5
20,Tom Heaton,Unknown,2019/2020,4
