Rank,Player,Club,Year,Minutes Played
1,Maximilian Kilman,Unknown,2023/2024,3420
2,Bernd Leno,Fulham,2023/2024,3420
3,André Onana,Manchester United,2023/2024,3420
4,Jordan Pickford,Everton,2023/2024,3420
5,William Saliba,Arsenal,2023/2024,3420
6,Guglielmo Vicario,Tottenham Hotspur,2023/2024,3420
7,James Tarkowski,Everton,2023/2024,3419
8,Joachim Andersen,Unknown,2023/2024,3416
9,Thomas Kaminski,Unknown,2023/2024,3406
10,Dominic Solanke,Unknown,2023/2024,3331
11,Mark Flekken,Brentford,2023/2024,3285
12,Antonee Robinson,Fulham,2023/2024,3270
13,Bruno Guimarães,Newcastle United,2023/2024,3268
14,Declan Rice,Arsenal,2023/2024,3230
15,Ollie Watkins,Aston Villa,2023/2024,3221
16,Tyrick Mitchell,Crystal Palace,2023/2024,3208
17,Virgil van Dijk,Liverpool,2023/2024,3178
18,Diogo Dalot,Manchester United,2023/2024,3173
19,Morgan Gibbs-White,Nottingham Forest,2023/2024,3160
20,Emerson,West Ham United,2023/2024,3142
1,David de Gea,Unknown,2022/2023,3420
2,Aaron Ramsdale,Unknown,2022/2023,3420
3,David Raya,Unknown,2022/2023,3420
4,James Tarkowski,Everton,2022/2023,3420
5,Gabriel Magalhães,Arsenal,2022/2023,3411
6,Harry Kane,Unknown,2022/2023,3406
7,Alex Iwobi,Unknown,2022/2023,3381
8,James Ward-Prowse,Unknown,2022/2023,3372
9,Kieran Trippier,Newcastle United,2022/2023,3347
10,Alisson Becker,Liverpool,2022/2023,3330
11,Jordan Pickford,Everton,2022/2023,3330
12,Marc Guéhi,Crystal Palace,2022/2023,3329
13,Ezri Konsa,Aston Villa,2022/2023,3323
14,Bruno Fernandes,Manchester United,2022/2023,3318
15,Maximilian Kilman,Unknown,2022/2023,3308
16,Mohamed Salah,Liverpool,2022/2023,3294
17,Ben Mee,Brentford,2022/2023,3272
18,Declan Rice,Unknown,2022/2023,3272
19,Nick Pope,Newcastle United,2022/2023,3262
20,Timothy Castagne,Unknown,2022/2023,3256
1,David de Gea,Unknown,2021/2022,3420
2,Hugo Lloris,Unknown,2021/2022,3420
3,Illan Meslier,Unknown,2021/2022,3385
4,Matty Cash,Aston Villa,2021/2022,3380
5,Conor Coady,Unknown,2021/2022,3363
6,Lukasz Fabianski,West Ham United,2021/2022,3330
7,Ederson,Manchester City,2021/2022,3330
8,Kasper Schmeichel,Unknown,2021/2022,3330
9,Robert Sánchez,Unknown,2021/2022,3329
10,Pontus Jansson,Unknown,2021/2022,3322
11,José Sá,Wolverhampton Wanderers,2021/2022,3285
12,Teemu Pukki,Unknown,2021/2022,3260
13,Alisson Becker,Liverpool,2021/2022,3240
14,Emiliano Martínez,Aston Villa,2021/2022,3240
15,Nick Pope,Burnley,2021/2022,3240
16,Harry Kane,Unknown,2021/2022,3232
17,João Cancelo,Unknown,2021/2022,3228
18,Marc Guéhi,Crystal Palace,2021/2022,3223
19,Moussa Sissoko,Unknown,2021/2022,3221
20,James Ward-Prowse,Southampton,2021/2022,3217
1,Pierre-Emile Højbjerg,Unknown,2020/2021,3420
2,Hugo Lloris,Unknown,2020/2021,3420
3,Emiliano Martínez,Aston Villa,2020/2021,3420
4,Aaron Ramsdale,Unknown,2020/2021,3420
5,Kasper Schmeichel,Unknown,2020/2021,3420
6,James Ward-Prowse,Unknown,2020/2021,3420
7,Tomás Soucek,West Ham United,2020/2021,3419
8,Ashley Westwood,Unknown,2020/2021,3411
9,Stuart Dallas,Unknown,2020/2021,3410
10,Matt Targett,Unknown,2020/2021,3405
11,Luke Ayling,Unknown,2020/2021,3400
12,Andy Robertson,Liverpool,2020/2021,3385
13,Youri Tielemans,Unknown,2020/2021,3358
14,Vicente Guaita,Unknown,2020/2021,3330
15,Sam Johnstone,West Bromwich Albion,2020/2021,3330
16,John McGinn,Aston Villa,2020/2021,3330
17,Rui Patrício,Unknown,2020/2021,3329
18,Ollie Watkins,Aston Villa,2020/2021,3329
19,Conor Coady,Unknown,2020/2021,3304
20,Alphonse Areola,Fulham,2020/2021,3240
1,George Baldock,Unknown,2019/2020,3420
2,Conor Coady,Unknown,2019/2020,3420
3,David de Gea,Unknown,2019/2020,3420
4,Rui Patrício,Unknown,2019/2020,3420
5,Martin Dúbravka,Newcastle United,2019/2020,3420
6,Ben Foster,Unknown,2019/2020,3420
7,Harry Maguire,Manchester United,2019/2020,3420
8,Jordan Pickford,Everton,2019/2020,3420
9,Nick Pope,Burnley,2019/2020,3420
10,Declan Rice,Unknown,2019/2020,3420
11,Mathew Ryan,Unknown,2019/2020,3420
12,Kasper Schmeichel,Unknown,2019/2020,3420
13,James Tarkowski,Burnley,2019/2020,3420
14,Virgil van Dijk,Liverpool,2019/2020,3420
15,James Ward-Prowse,Unknown,2019/2020,3420
16,Jonny Evans,Unknown,2019/2020,3385
17,Enda Stevens,Unknown,2019/2020,3346
18,Dwight McNeil,Burnley,2019/2020,3344
19,Aaron Ramsdale,Unknown,2019/2020,3330
20,Wilfried Zaha,Unknown,2019/2020,3280
